ItemName,ItemPrice,ItemDescription,ImageUrl
Wednesday Web-Cakes,10.99,"Our fluffy, signature Buttermilk pancakes topped with cupcake icing, webbed with Hershey's Chocolate syrup and topped with violet whipped topping.",https://d1ralsognjng37.cloudfront.net/90428215-2c66-4c52-b994-2584a5ad275f.jpeg
Gomez Green Chile Omelette,14.99,"Marinated pulled pork, Jack & Cheddar cheese, fire-roasted red and green peppers and onions and green chile verde sauce topped with sour cream. Served with 3 Buttermilk Pancakes or your choice of side. Made with a splash of Buttermilk and wheat pancake batter.",https://d1ralsognjng37.cloudfront.net/cbdce283-fd23-4516-a6cf-18b7a1658cf7.jpeg
Uncle Fester Chocolate Ice Scream Shake,5.49,Our haunted house-made Hershey's chocolate ice cream shake with violet whipped topping. So good it will make you shiver!,https://d1ralsognjng37.cloudfront.net/ea5c1427-a8d3-40e1-b541-f5773ccbe0de.jpeg
Morticia's Haunted Hot Chocolate,3.59,Toasted marshmallow hot chocolate topped with violet whipped topping and drizzle of Hershey's chocolate syrup.,https://d1ralsognjng37.cloudfront.net/861e2c03-86a0-4b92-a583-d3e91f9e6eb9.jpeg
Kooky Kids Combo,7.49,"One Wednesday's Web-Cake served with one scrambled egg, one bacon strip and one pork sausage link.",https://d1ralsognjng37.cloudfront.net/f86e7176-1e2d-4a5c-a48d-15cd2f1a9da4.jpeg
Wednesday Web-Cakes Combo,7.99,"Our fluffy, signature Buttermilk pancakes topped with cupcake icing, webbed with Hershey's Chocolate syrup and topped with violet whipped topping.",https://d1ralsognjng37.cloudfront.net/4186dc9a-2915-4ce1-86d1-15baac0156fc.jpeg
Wednesday's Webcakes 2 Stack,4.99,"A two stack of our fluffy, signature Buttermilk pancakes topped with cupcake icing, webbed with Hershey's Chocolate syrup and topped with violet whipped topping.", 
Original Gluten-Friendly Full Stack Pancakes,8.99,"Four fluffy, gluten-friendly pancakes topped with whipped real butter.",https://d1ralsognjng37.cloudfront.net/de4e80c9-0cd3-4c8c-b243-f427c01f1ee7.jpeg
Original Gluten-Friendly Short Stack Pancakes,5.99,"Two fluffy, gluten-friendly pancakes topped with whipped real butter.",https://d1ralsognjng37.cloudfront.net/54dc027b-59a9-4587-9731-63ae9181b7a2.jpeg
Original Gluten-Friendly Pancake Combo,13.49,"Two fluffy, gluten-friendly pancakes topped with whipped real butter. Served with 2 eggs* your way, two bacon strips or pork sausage links, and our golden hash browns.",https://d1ralsognjng37.cloudfront.net/c2929bdc-c08d-4041-a6d6-08ec0429f869.jpeg
Gluten-Friendly Belgian Waffle,10.29,"A golden-brown, gluten-friendly Belgian waffle topped with whipped real butter.",https://d1ralsognjng37.cloudfront.net/b9403159-b40c-4dfe-be0b-d8465ff8f065.jpeg
Gluten-Friendly Belgian Waffle Combo,12.59,"A golden-brown, gluten-friendly Belgian waffle topped with whipped real butter. Served with 2 eggs* your way and two bacon strips or two pork sausage links.",https://d1ralsognjng37.cloudfront.net/f30b3709-dbd5-475a-be3f-33ab243a963e.jpeg
